INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,22.54123,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,5.1950199999999995,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,41.355140000000006,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,44.83272,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,6.80403,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,18.80548,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,21.23743,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,32.481840000000005,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,28.59297,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,30.2555,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,32.035540000000005,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,36.79885,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,29.93788,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,20.223689999999998,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,59.345119999999994,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,28.68595,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,21.97004,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,6.43244,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,29.737479999999998,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BIGRIVR_6_N001,BIGRIVR_6_N001,BIGRIVR_6_N001,DAM,LMP,LMP_PRC,BIGRIVR_6_N001,ALL,1,31.842579999999998,1
