INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,29.04409,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,28.154529999999998,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,50.90054,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,6.55351,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,28.680090000000003,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,60.05549,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,18.75215,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,21.17902,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,28.92519,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,25.0762,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,22.63283,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,5.07661,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,28.79628,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BIOLA_6_N001,BIOLA_6_N001,BIOLA_6_N001,DAM,LMP,LMP_PRC,BIOLA_6_N001,ALL,1,36.94484,1
