INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,25.42349,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,26.910740000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,19.97692,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,5.91412,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,17.68921,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,34.16532,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,31.022340000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,29.374240000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,5.48725,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,27.210820000000002,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,26.64412,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,27.29778,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,26.581879999999998,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,4.682980000000001,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,48.255390000000006,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,27.10878,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,56.736540000000005,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BLAST_7_N005,BLAST_7_N005,BLAST_7_N005,DAM,LMP,LMP_PRC,BLAST_7_N005,ALL,1,35.082679999999996,1
