INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,22.25301,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,55.30415,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,27.429890000000004,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,26.74598,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,31.489140000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,20.80323,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,6.40048,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,46.96001,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,27.253079999999997,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,41.93052,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,28.391840000000002,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,18.34389,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,24.639860000000002,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,26.68715,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,27.80698,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,34.13722,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,30.483009999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BLCH38751_7_B1,BLCH38751_7_B1,BLCH38751_7_B1,DAM,LMP,LMP_PRC,BLCH38751_7_B1,ALL,1,30.57958,1
