INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,51.4096,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,18.38803,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,30.698079999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,27.34755,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,38.19934,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,37.0,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,34.786229999999996,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,18.51322,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,46.43915,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,45.45129,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,7.077319999999999,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,5.16476,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,12.45829,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,22.11225,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,47.753640000000004,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,46.075990000000004,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,50.15105,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BLUELKE_6_N001,BLUELKE_6_N001,BLUELKE_6_N001,DAM,LMP,LMP_PRC,BLUELKE_6_N001,ALL,1,48.60427,1
