INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,27.672629999999998,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,25.58442,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,11.82745,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,27.80371,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,31.52018,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,23.85592,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,4.89182,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,6.31335,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,30.67942,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,48.5471,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,17.81426,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,20.26758,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,29.768990000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,27.05504,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,35.34871,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,27.553659999999997,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,57.190709999999996,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,27.465809999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,34.37989,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,27.819809999999997,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BLUSTNPP_6_N003,BLUSTNPP_6_N003,BLUSTNPP_6_N003,DAM,LMP,LMP_PRC,BLUSTNPP_6_N003,ALL,1,6.09052,1
