INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,29.13618,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,11.624889999999999,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,17.5237,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,47.47421,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,55.787440000000004,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,26.48889,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,30.709590000000002,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,33.5568,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,26.95332,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,26.48687,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,4.10551,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,24.993479999999998,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,34.57221,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,41.99638,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,26.955370000000002,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,19.81705,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,3.20807,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BLYTHESC_1_N005,BLYTHESC_1_N005,BLYTHESC_1_N005,DAM,LMP,LMP_PRC,BLYTHESC_1_N005,ALL,1,5.38675,1
