INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,50.0353,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,21.24961,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,5.14,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,28.53613,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,28.310409999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,28.347209999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,6.68898,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,24.93076,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,36.279790000000006,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,12.48392,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,18.78341,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,22.784760000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,27.60479,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,28.68628,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,31.52327,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,30.55548,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,26.724079999999997,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,59.001580000000004,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,44.53416,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,28.20722,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,28.619090000000003,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,35.55473,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,6.42628,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BNAVSTA_6_N002,BNAVSTA_6_N002,BNAVSTA_6_N002,DAM,LMP,LMP_PRC,BNAVSTA_6_N002,ALL,1,32.3882,1
