INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,28.05387,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,18.56825,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,57.08591,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,28.17442,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,27.3641,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,27.783490000000004,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,27.78657,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,35.190529999999995,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,42.98427,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,20.952720000000003,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,12.317969999999999,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,6.3302,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,27.82085,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,29.9287,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,48.5026,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,34.92158,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,31.497840000000004,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,27.78179,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,26.718809999999998,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,24.87406,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,22.59708,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,6.54092,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BOGUE_1_N001,BOGUE_1_N001,BOGUE_1_N001,DAM,LMP,LMP_PRC,BOGUE_1_N001,ALL,1,31.051709999999996,1
