INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,6.5072,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,28.590670000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,30.772440000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,28.5564,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,12.69257,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,27.35459,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,36.57097,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,28.86617,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,21.50498,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BOLLMAN_1_N003,BOLLMAN_1_N003,BOLLMAN_1_N003,DAM,LMP,LMP_PRC,BOLLMAN_1_N003,ALL,1,23.20703,1
