INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,28.73729,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,28.52778,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,27.25435,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,36.58535,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,32.697759999999995,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,28.66661,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,21.08559,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,59.49069,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,5.065919999999999,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,6.32828,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,28.87895,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,44.9381,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,27.8947,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,18.70065,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,22.64624,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,25.09593,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,50.45061,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,28.3849,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,6.53545,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,12.37532,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,36.64287,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,31.88625,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,28.5843,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,30.77545,1
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,34.474940000000004,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BONITA_6_N001,BONITA_6_N001,BONITA_6_N001,DAM,LMP,LMP_PRC,BONITA_6_N001,ALL,1,40.95805,5
