INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,5.37325,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.81165,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,14.80931,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,20.48118,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.919009999999997,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,51.38507,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,22.2005,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,32.18396,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,30.8086,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,36.56738,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.680999999999997,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.63076,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.16804,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,60.67851999999999,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.673809999999996,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.79624,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,6.90567,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.745309999999996,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,36.34968,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,31.749740000000003,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.34352,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,23.58908,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,45.19275,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.12304,1
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,26.41972,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.11875,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,26.284370000000003,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,37.9894,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,45.0532,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,22.60237,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.061410000000002,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.765990000000002,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,29.109920000000002,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,30.015629999999998,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,38.75934,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,31.20383,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,26.823759999999996,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.93573,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,54.31486999999999,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,30.28558,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,30.000890000000002,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,33.48245,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,39.44539,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.10313,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,41.5652,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,62.617830000000005,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.12871,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,26.77502,5
2017-10-03T17:00:00-00:00,2017-10-03,10,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,26.6728,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,30.998179999999998,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,40.6427,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.945909999999998,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.543309999999998,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,34.142720000000004,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,52.70451,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,46.66137,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,31.312409999999996,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.97498,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,64.09413,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,29.45235,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.90285,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.565609999999996,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.59443,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,39.52089,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.04605,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,32.87449,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,29.216959999999997,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,38.16368,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,43.42109,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.775679999999998,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,26.916040000000002,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.180290000000003,9
2017-10-04T21:00:00-00:00,2017-10-04,14,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.32967,13
2017-10-05T02:00:00-00:00,2017-10-04,19,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,58.60098000000001,13
2017-10-05T07:00:00-00:00,2017-10-04,24,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,31.194940000000003,13
2017-10-04T23:00:00-00:00,2017-10-04,16,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.815929999999998,13
2017-10-04T08:00:00-00:00,2017-10-04,1,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.73297,13
2017-10-04T15:00:00-00:00,2017-10-04,8,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,47.51695,13
2017-10-04T16:00:00-00:00,2017-10-04,9,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,30.81522,13
2017-10-04T22:00:00-00:00,2017-10-04,15,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,28.89785,13
2017-10-04T11:00:00-00:00,2017-10-04,4,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,27.57123,13
2017-10-05T04:00:00-00:00,2017-10-04,21,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,49.3086,13
2017-10-05T06:00:00-00:00,2017-10-04,23,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,35.36332,13
2017-10-04T14:00:00-00:00,2017-10-04,7,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,43.17827,13
2017-10-04T18:00:00-00:00,2017-10-04,11,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.96509,13
2017-10-04T19:00:00-00:00,2017-10-04,12,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,25.85962,13
2017-10-05T03:00:00-00:00,2017-10-04,20,0,BONNIEN_7_N002,BONNIEN_7_N002,BONNIEN_7_N002,DAM,LMP,LMP_PRC,BONNIEN_7_N002,ALL,1,68.94109,13
