INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,18.5425,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,30.480140000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,28.38553,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,20.91742,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,12.276480000000001,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,28.097990000000003,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,31.576009999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,6.47992,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,24.9209,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BORDEN_2_N009,BORDEN_2_N009,BORDEN_2_N009,DAM,LMP,LMP_PRC,BORDEN_2_N009,ALL,1,32.349909999999994,1
