INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,27.580170000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,21.1541,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,28.17923,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,26.732,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,6.66423,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,28.54575,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,24.918429999999997,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,18.722720000000002,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,31.417790000000004,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,49.87214,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,28.23285,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,30.431929999999998,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,6.40477,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,28.38027,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,36.15037,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,35.53714,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,12.44243,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,32.27013,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,5.13746,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,22.7155,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,28.498070000000002,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,28.1642,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,44.36732,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,58.809430000000006,1
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,22.47073,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,38.09916,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,26.77232,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,30.4593,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,26.45546,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,26.89811,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,33.60195,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BORONDA_6_N001,BORONDA_6_N001,BORONDA_6_N001,DAM,LMP,LMP_PRC,BORONDA_6_N001,ALL,1,60.82946,5
