INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,31.489620000000002,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,35.35775,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,28.490940000000002,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,8.31121,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,18.93293,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,32.33919,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,18.38865,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,28.82002,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,29.39303,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,28.420759999999998,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BORREGO_6_N009,BORREGO_6_N009,BORREGO_6_N009,DAM,LMP,LMP_PRC,BORREGO_6_N009,ALL,1,5.93435,1
