INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,58.55905,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,11.46138,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,36.146770000000004,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,28.486720000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,5.84454,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,28.7586,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,32.21587,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,27.749740000000003,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,28.23593,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,30.950229999999998,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,17.33061,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,25.37073,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,49.57549,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,28.288429999999998,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,20.02052,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,28.41136,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,6.03317,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,-15.24593,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,23.28892,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,35.16077,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,21.03312,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,28.69789,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,31.935879999999997,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,44.45513,1
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,25.87891,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,26.77447,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,27.617359999999998,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,38.28782,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,39.926520000000004,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BOSWELL_6_N001,BOSWELL_6_N001,BOSWELL_6_N001,DAM,LMP,LMP_PRC,BOSWELL_6_N001,ALL,1,27.53765,5
