INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.93573,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.525,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,32.69137,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.222690000000004,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,36.60333,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.926540000000003,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,59.43246,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,6.54013,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,18.651,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,31.96691,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.79076,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,30.90503,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,50.45061,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,25.13044,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,22.70433,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,5.0588,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.41524,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,6.3156300000000005,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,44.916140000000006,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,36.522040000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,21.14995,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.68192,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,12.35213,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.69752,1
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,34.28905,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,21.15608,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.63865,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,30.7559,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.90458,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,30.996190000000002,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,26.97778,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,24.91421,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,23.67612,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,40.87733,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.11086,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.58046,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,45.727090000000004,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,28.9739,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,38.924279999999996,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,26.905859999999997,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.54937,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,62.48125,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,39.47913,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BOWLES_6_N001,BOWLES_6_N001,BOWLES_6_N001,DAM,LMP,LMP_PRC,BOWLES_6_N001,ALL,1,27.290670000000002,5
