INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,22.657410000000002,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,24.854329999999997,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,27.91334,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,43.458459999999995,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,5.123880000000001,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,30.281259999999996,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,31.35264,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,57.5983,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,35.11152,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,6.37458,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,27.5665,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,28.034540000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,21.12089,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,28.196579999999997,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,31.61272,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,6.59697,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,28.4249,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,28.39397,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,35.43139,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BRENTWOD_2_N001,BRENTWOD_2_N001,BRENTWOD_2_N001,DAM,LMP,LMP_PRC,BRENTWOD_2_N001,ALL,1,12.41925,1
