INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,6.444459999999999,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,12.566889999999999,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,25.46817,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.3711,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,6.6642,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,21.33266,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.35837,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,30.558490000000003,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,59.03069,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,36.012,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.56118,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,27.900170000000003,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,27.428459999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.71759,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,36.22586,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,50.134190000000004,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,23.09085,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,31.70631,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.70315,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,5.1816699999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.49271,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,32.44565,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,44.39805,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,18.96363,1
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,61.711130000000004,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,38.37925,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,21.93013,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,28.78834,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,29.53769,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,30.83762,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,27.48449,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,27.23795,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,27.28162,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BRKRSLG_1_N005,BRKRSLG_1_N005,BRKRSLG_1_N005,DAM,LMP,LMP_PRC,BRKRSLG_1_N005,ALL,1,29.2647,5
