INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,30.55003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,20.358929999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,21.81733,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,23.87811,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,33.60604,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,34.0114,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,26.84696,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,26.590090000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,6.34722,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,4.9503900000000005,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,54.98973,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BRNYFRST_7_B1,BRNYFRST_7_B1,BRNYFRST_7_B1,DAM,LMP,LMP_PRC,BRNYFRST_7_B1,ALL,1,27.34275,1
