INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.457440000000002,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,11.82012,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,17.80507,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,35.301970000000004,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.48408,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.7728,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,6.30934,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,48.52732,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,57.190709999999996,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,30.6515,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,25.57651,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,4.88927,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,21.61402,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,31.443590000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,20.25305,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,34.37637,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,43.1116,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.29519,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.02222,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,6.08988,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,23.84853,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.599859999999996,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,29.75392,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.780409999999996,1
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,26.04222,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,25.55356,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,20.20815,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,23.62085,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,27.534540000000003,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BRRNDAA_6_N001,BRRNDAA_6_N001,BRRNDAA_6_N001,DAM,LMP,LMP_PRC,BRRNDAA_6_N001,ALL,1,59.72739,5
