INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,27.63345,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,21.6453,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,27.057779999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,27.816999999999997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,4.89538,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,17.82714,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,25.61608,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,23.8855,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,48.60148,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,27.490909999999996,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,29.79008,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,6.09748,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BRRNDAC_6_N001,BRRNDAC_6_N001,BRRNDAC_6_N001,DAM,LMP,LMP_PRC,BRRNDAC_6_N001,ALL,1,34.42913,1
