INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,5.0865,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,18.56273,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,34.44672,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,28.02808,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,27.68895,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,24.70149,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,27.202740000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,29.83227,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,55.8282,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,27.781879999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,27.91895,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,27.64555,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,6.5262,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,47.3951,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BRWNSVY_6_N001,BRWNSVY_6_N001,BRWNSVY_6_N001,DAM,LMP,LMP_PRC,BRWNSVY_6_N001,ALL,1,27.67543,1
