INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,16.77338,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,16.92659,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,24.73554,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.48907,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,28.06543,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.884529999999998,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,4.14911,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,27.33085,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.476960000000002,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.92076,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,5.33016,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,20.76459,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,37.66986,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.86466,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,24.08066,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,14.75787,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,42.89595,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,33.07022,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.88994,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,23.51325,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,5.22711,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,21.3388,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,9.832410000000001,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,19.43085,1
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BSPHYD34_1_N001,BSPHYD34_1_N001,BSPHYD34_1_N001,DAM,LMP,LMP_PRC,BSPHYD34_1_N001,ALL,1,20.8743,5
