INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,57.231469999999995,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,27.62505,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,30.645290000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,20.3963,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,48.606429999999996,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,35.33433,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,24.03342,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,27.436770000000003,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,27.22622,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,29.80214,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,27.507640000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,6.15226,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,21.78605,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,34.41858,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,27.775609999999997,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,27.786040000000003,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,6.373069999999999,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,17.95954,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,25.69258,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BUENAVT_2_N006,BUENAVT_2_N006,BUENAVT_2_N006,DAM,LMP,LMP_PRC,BUENAVT_2_N006,ALL,1,43.06769,1
