INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,5.05269,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,6.3156300000000005,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,30.68204,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,25.17481,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,27.272809999999996,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,18.69514,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,28.52607,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,28.50899,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,21.04407,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,12.370439999999999,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,44.837109999999996,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,22.726670000000002,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,28.24144,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BULLARD_1_N004,BULLARD_1_N004,BULLARD_1_N004,DAM,LMP,LMP_PRC,BULLARD_1_N004,ALL,1,27.75248,1
