INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,5.279730000000001,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,27.63423,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,29.06573,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,28.741809999999997,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,32.81264,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,36.515,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,30.96831,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,23.39917,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,32.04757,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,28.72423,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,28.931340000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,6.56605,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,21.65446,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,19.24315,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,12.78653,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BURLNGME_1_N001,BURLNGME_1_N001,BURLNGME_1_N001,DAM,LMP,LMP_PRC,BURLNGME_1_N001,ALL,1,6.78765,1
