INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,6.4787,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,30.6577,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,34.838229999999996,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,18.34389,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,6.26692,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,5.0442599999999995,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,29.53998,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.038629999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,12.18253,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.498,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,42.63302,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.389940000000003,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,26.18855,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.43791,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,24.45497,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,56.515280000000004,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.789659999999998,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.427609999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,34.43969,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,27.8564,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,22.28652,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,31.17871,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,48.02796,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BUTTE_1_N101,BUTTE_1_N101,BUTTE_1_N101,DAM,LMP,LMP_PRC,BUTTE_1_N101,ALL,1,20.707729999999998,1
