INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,28.855220000000003,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,39.69569,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,6.21242,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,4.83814,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,24.53709,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,11.69932,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,26.059079999999998,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,21.350379999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,32.14277,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,52.56748,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,29.174590000000002,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,19.92086,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,32.49435,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,25.7414,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,27.900709999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,25.90382,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,23.42697,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,26.191679999999998,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,26.53608,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,6.01569,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,25.70393,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,26.505509999999997,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,44.62635,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,17.58991,1
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,25.163339999999998,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,26.91905,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,40.282759999999996,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,26.39663,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,25.13789,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,24.80775,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,20.1516,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,24.810229999999997,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,36.02599,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,24.84831,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,24.79485,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,47.14848,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,34.66068,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,54.933640000000004,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,34.51104,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,25.18492,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,37.6104,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,28.14398,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,23.36199,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BUTTVLLY_7_B1,BUTTVLLY_7_B1,BUTTVLLY_7_B1,DAM,LMP,LMP_PRC,BUTTVLLY_7_B1,ALL,1,22.467470000000002,5
