INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T00:00:00-00:00,2017-10-01,17,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,25.908910000000002,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,22.145770000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.876790000000003,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,9.30056,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,12.028780000000001,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,35.69382,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.4145,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.90372,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,5.65825,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,34.76681,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,48.93275,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.862029999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,29.919659999999997,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,18.178379999999997,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,24.494410000000002,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,57.505140000000004,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,43.47163,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,31.552090000000003,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.605459999999997,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.10207,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,27.128890000000002,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,B_6_N005,B_6_N005,B_6_N005,DAM,LMP,LMP_PRC,B_6_N005,ALL,1,30.701140000000002,1
