INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,19.92709,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,47.05395,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,29.82627,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,10.28814,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,27.05606,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,41.653909999999996,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,33.34223,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,21.34367,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,17.569679999999998,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,30.42238,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,34.352920000000005,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,24.8352,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,C493GEN_7_N003,C493GEN_7_N003,C493GEN_7_N003,DAM,LMP,LMP_PRC,C493GEN_7_N003,ALL,1,5.77665,1
