INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,26.941359999999996,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,30.145809999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,25.52374,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,42.71205,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,17.73519,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,5.94129,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,56.82971,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,27.346999999999998,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,26.688259999999996,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,4.71093,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,20.05581,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,31.05425,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,5.59408,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,26.617440000000002,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,48.31472,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,34.20753,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,27.323079999999997,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,23.880570000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CABAZON_7_B1,CABAZON_7_B1,CABAZON_7_B1,DAM,LMP,LMP_PRC,CABAZON_7_B1,ALL,1,27.2528,1
