INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.96807,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.78383,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,6.581639999999999,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,60.585359999999994,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,22.400470000000002,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,24.72121,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.73341,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.1053,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.7656,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,51.12797,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,5.06994,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,6.29744,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,12.21059,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,36.00848,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,45.67572,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,37.13897,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,32.93391,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.95611,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,31.99173,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,21.20809,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,28.5118,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,18.39722,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,26.6766,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,31.14007,1
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,23.56341,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CABRILLO_1_N001,CABRILLO_1_N001,CABRILLO_1_N001,DAM,LMP,LMP_PRC,CABRILLO_1_N001,ALL,1,41.76944,5
