INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,4.97799,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,31.63495,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,6.22866,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,22.364720000000002,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,49.353,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,6.42389,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,18.43584,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,35.8448,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,28.004540000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,27.462559999999996,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,12.21669,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,26.84808,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CALAVE_1_N001,CALAVE_1_N001,CALAVE_1_N001,DAM,LMP,LMP_PRC,CALAVE_1_N001,ALL,1,36.13863,1
