INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,28.53189,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,6.73797,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,32.78711,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,28.56261,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,21.58802,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,37.038309999999996,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,28.28834,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,12.66817,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,25.36257,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,61.12687,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,46.00502,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CALISTGA_6_N001,CALISTGA_6_N001,CALISTGA_6_N001,DAM,LMP,LMP_PRC,CALISTGA_6_N001,ALL,1,28.54873,1
