INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,28.633540000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,21.10635,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,18.28688,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,6.2689699999999995,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,26.441809999999997,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,35.72708,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,32.771159999999995,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,50.91537,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,60.31751,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,28.61777,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,6.5435,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CALLENDR_1_N001,CALLENDR_1_N001,CALLENDR_1_N001,DAM,LMP,LMP_PRC,CALLENDR_1_N001,ALL,1,12.1447,1
