INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,27.664959999999997,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,28.54873,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,50.83132,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,28.44793,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,28.55418,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,6.24745,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,35.61453,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,60.177769999999995,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,30.666970000000003,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,6.51607,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAMBRIA_6_N001,CAMBRIA_6_N001,CAMBRIA_6_N001,DAM,LMP,LMP_PRC,CAMBRIA_6_N001,ALL,1,18.257460000000002,1
