INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,6.4553400000000005,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,31.498659999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.02747,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,59.816759999999995,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,21.0939,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,18.62342,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,28.79218,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,36.72605,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,45.38155,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,28.71319,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,6.23309,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,25.1329,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,50.71266,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,36.862159999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,29.19884,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,12.20693,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,22.6507,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,29.2596,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,32.79214,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,32.82541,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,28.958920000000003,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,28.250259999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,29.1282,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,4.99021,1
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,39.86895,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.17127,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,22.99479,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,24.60378,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,54.22905,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.87125,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.60202,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,39.52987,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,34.64755,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,31.712740000000004,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,26.12639,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,46.560590000000005,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,39.23622,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,29.02255,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,20.40454,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,29.68215,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,63.394369999999995,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.932270000000003,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.481990000000003,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,31.11001,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,23.64254,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,26.72085,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,27.98185,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,40.93549,5
2017-10-03T16:00:00-00:00,2017-10-03,9,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,30.541790000000002,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,CAMDEN_6_N001,CAMDEN_6_N001,CAMDEN_6_N001,DAM,LMP,LMP_PRC,CAMDEN_6_N001,ALL,1,33.54887,9
