INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,27.662209999999998,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,34.28102,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,17.3067,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,48.344390000000004,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,56.43376,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,42.38275,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,29.991559999999996,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,26.724120000000003,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,11.51507,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,26.81162,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,6.593610000000001,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,23.3826,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,24.59777,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,26.709809999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,27.54232,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,34.3623,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,27.410020000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,29.74488,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,21.10685,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,26.896829999999998,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,30.53981,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,9.18023,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,5.51757,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,19.97692,1
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,27.9987,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,23.79965,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,49.22968,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,24.387179999999997,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,25.01516,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,23.82347,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,13.03784,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,13.795770000000001,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,24.20883,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,26.55472,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,51.54513,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,-3.9371699999999996,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,36.259679999999996,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,24.13237,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,4.472519999999999,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CAMERON_6_N001,CAMERON_6_N001,CAMERON_6_N001,DAM,LMP,LMP_PRC,CAMERON_6_N001,ALL,1,1.04583,5
