INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,12.612039999999999,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,28.55988,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,30.78148,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,28.62335,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,18.95811,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,28.85898,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,28.97017,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,5.2311,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,59.781819999999996,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,36.700390000000006,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,28.58077,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,6.503480000000001,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,45.11372,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,28.824540000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,27.93573,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,31.78387,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,6.78465,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,25.25617,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,36.06125,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,50.648379999999996,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,21.41778,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,27.0987,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,32.72967,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,23.001479999999997,1
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,24.5457,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,38.95456,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,29.735159999999997,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,45.70936,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,34.299009999999996,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,31.56615,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,39.74412,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,25.71106,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,31.05997,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,32.63156,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,26.78448,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,22.982110000000002,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,42.5461,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,30.701829999999998,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,27.30572,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,26.74557,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,27.4358,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,41.714890000000004,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,27.402820000000002,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CAMPHORA_6_N001,CAMPHORA_6_N001,CAMPHORA_6_N001,DAM,LMP,LMP_PRC,CAMPHORA_6_N001,ALL,1,29.964000000000002,5
