INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,20.81777,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,32.04355,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,26.57635,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,28.08127,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,30.21195,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,6.49982,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,35.84121,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,31.228540000000002,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,22.458560000000002,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,24.733539999999998,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,28.29559,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,27.9595,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CANAL_6_N001,CANAL_6_N001,CANAL_6_N001,DAM,LMP,LMP_PRC,CANAL_6_N001,ALL,1,27.88832,1
