INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,36.31214,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,20.73679,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,28.17192,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,5.417680000000001,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,12.20205,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,27.41333,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,30.23606,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,28.00413,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,28.04209,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,8.07283,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,49.90675,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,22.41611,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,35.364779999999996,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,58.77449,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,44.270720000000004,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,32.06588,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,24.78531,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,26.41279,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,6.634180000000001,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,18.42664,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,27.7624,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,28.165979999999998,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,31.02068,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,27.452440000000003,1
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,36.339059999999996,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CAPSTRNO_1_N006,CAPSTRNO_1_N006,CAPSTRNO_1_N006,DAM,LMP,LMP_PRC,CAPSTRNO_1_N006,ALL,1,33.32976,5
