INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,27.285090000000004,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,56.53856999999999,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,19.93955,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,25.3892,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,11.72983,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,26.55726,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,48.10706,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,27.07252,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,26.53653,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,26.76045,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,30.92022,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,27.11285,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAPWIND_1_B1,CAPWIND_1_B1,CAPWIND_1_B1,DAM,LMP,LMP_PRC,CAPWIND_1_B1,ALL,1,34.063309999999994,1
