INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,28.21937,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,25.3104,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,22.98584,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,12.54493,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,32.34352,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,43.726279999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,27.24379,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,28.6132,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,58.02336,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,35.50548,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,18.91214,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,30.24812,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,31.53568,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CARBONA_6_N101,CARBONA_6_N101,CARBONA_6_N101,DAM,LMP,LMP_PRC,CARBONA_6_N101,ALL,1,27.768890000000003,1
