INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,49.6991,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,4.8990599999999995,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,30.72285,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,27.854309999999998,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,20.23021,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,35.98141,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,27.89095,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,34.91806,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,27.34485,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CARNATIO_6_N001,CARNATIO_6_N001,CARNATIO_6_N001,DAM,LMP,LMP_PRC,CARNATIO_6_N001,ALL,1,21.77935,1
