INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,25.19454,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,59.65955,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,31.44261,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,28.4811,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,5.18343,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,36.47032,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,28.40594,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,21.295279999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,28.469929999999998,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,44.99957,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,6.653,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,35.92758,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CARQUINZ_1_N002,CARQUINZ_1_N002,CARQUINZ_1_N002,DAM,LMP,LMP_PRC,CARQUINZ_1_N002,ALL,1,18.85145,1
