INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,29.97993,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,34.38341,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,43.68238,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,20.23851,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,6.28944,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,11.72617,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,23.63159,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,21.455389999999998,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,49.135459999999995,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,30.819029999999998,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CARRIZO_1_N001,CARRIZO_1_N001,CARRIZO_1_N001,DAM,LMP,LMP_PRC,CARRIZO_1_N001,ALL,1,6.05227,1
