INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,36.43437,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,30.91105,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,25.4879,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,19.12546,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,27.370420000000003,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,28.5179,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,32.483940000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,6.76808,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,28.695870000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,21.62332,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,5.2577300000000005,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,28.79076,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,28.79028,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,28.46214,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,6.53974,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,44.8415,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,28.666940000000004,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,50.238009999999996,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,27.9412,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,59.38588000000001,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,36.05421,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,12.727960000000001,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,31.78697,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,23.24501,1
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,27.273590000000002,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,45.61626,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,29.5572,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,37.24168,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,38.20473,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,27.17908,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,27.498009999999997,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,41.96915,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,27.09627,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,54.263740000000006,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,26.739729999999998,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,26.71929,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,30.95565,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,22.86191,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CARTWRT_1_N001,CARTWRT_1_N001,CARTWRT_1_N001,DAM,LMP,LMP_PRC,CARTWRT_1_N001,ALL,1,25.58496,5
