INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.511779999999998,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,22.65964,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,36.65725,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,5.04709,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,18.63445,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.42202,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,36.58183,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,44.96883,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.65568,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,30.739290000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,21.00254,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.188390000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.804440000000003,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,12.331389999999999,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,25.090999999999998,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,59.513980000000004,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,32.7169,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.2911,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,31.80248,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.932129999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,6.51069,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,50.53467,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.582279999999997,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,6.304869999999999,1
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,53.652159999999995,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,21.14325,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.577790000000004,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.102959999999996,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,23.79608,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.921529999999997,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,62.65518,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,29.08837,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,23.62904,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,26.96118,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,29.65523,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.29901,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,45.85123,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,34.405229999999996,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,26.908490000000004,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.644059999999996,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,39.03783,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,30.777079999999998,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,41.034729999999996,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,24.89655,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,39.51036,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,39.29438,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,31.0943,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.557409999999997,5
2017-10-03T21:00:00-00:00,2017-10-03,14,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,23.52843,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,48.63814,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,36.32049,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,32.146370000000005,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,33.50632,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.62769,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,66.5765,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,19.51596,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,39.96532,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,53.9548,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.39831,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,40.15696,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,29.38025,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.71353,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,23.13914,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.876240000000003,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,45.1047,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,24.29104,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,29.552690000000002,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,42.60357,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,19.190920000000002,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,22.67171,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.83349,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,30.57866,9
2017-10-04T15:00:00-00:00,2017-10-04,8,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,49.016999999999996,13
2017-10-04T16:00:00-00:00,2017-10-04,9,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,30.96632,13
2017-10-04T21:00:00-00:00,2017-10-04,14,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,27.56448,13
2017-10-04T22:00:00-00:00,2017-10-04,15,0,CARUTHRS_6_N001,CARUTHRS_6_N001,CARUTHRS_6_N001,DAM,LMP,LMP_PRC,CARUTHRS_6_N001,ALL,1,28.12902,13
