INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.537490000000002,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,12.6523,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.691990000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,6.716060000000001,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,6.50087,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,25.46078,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.86617,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,36.14215,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.02598,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,50.539609999999996,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,36.52065,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.86675,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,32.579679999999996,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,5.22527,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,23.16011,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,27.32821,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.49525,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,19.0519,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,59.49651,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,44.85907,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,31.842809999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,30.787509999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,28.57872,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,21.48006,1
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,45.50542,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,48.73499,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,25.07648,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,30.95263,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,38.25913,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,37.993829999999996,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,30.826629999999998,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,29.883979999999998,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,38.72746,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,34.24293,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,62.19695,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CATALYST_7_N001,CATALYST_7_N001,CATALYST_7_N001,DAM,LMP,LMP_PRC,CATALYST_7_N001,ALL,1,37.26676,5
