INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,48.46799,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.31987,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.61539,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,26.85812,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.304029999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,6.23257,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,34.0809,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,31.33827,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,35.222879999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.454320000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,20.09111,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,4.806430000000001,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,17.44647,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,30.474659999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,25.21508,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,43.01939,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,29.63038,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.11035,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,21.18504,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,57.12666,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.62562,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,5.97444,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,11.58341,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,23.40972,1
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CAVLSRGN_7_B1,CAVLSRGN_7_B1,CAVLSRGN_7_B1,DAM,LMP,LMP_PRC,CAVLSRGN_7_B1,ALL,1,27.55726,5
