INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,6.09277,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,6.31152,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,27.320759999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,25.59233,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,27.622809999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,27.521490000000004,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,57.37704,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,17.806910000000002,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,21.63413,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,4.8904,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,30.465359999999997,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,11.81524,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,29.633390000000002,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,31.408479999999997,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,23.89783,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,48.73003,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,26.877259999999996,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,43.17745,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,27.0938,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,27.31431,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,34.37989,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,35.3523,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,27.61539,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,20.20322,1
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CAWELOB_6_N001,CAWELOB_6_N001,CAWELOB_6_N001,DAM,LMP,LMP_PRC,CAWELOB_6_N001,ALL,1,38.220420000000004,5
