INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,27.05968,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,4.79778,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,5.97317,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,11.57852,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,48.08234,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,27.14156,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,29.950359999999996,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,19.8565,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,25.154410000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,29.16331,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,26.63584,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,27.15725,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,26.87448,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,6.18975,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CAWELOC_1_N001,CAWELOC_1_N001,CAWELOC_1_N001,DAM,LMP,LMP_PRC,CAWELOC_1_N001,ALL,1,17.4575,1
