INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,20.805310000000002,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,36.57816,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,28.455859999999998,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,44.92053,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,50.39128,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,27.577440000000003,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,28.46142,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,32.448840000000004,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,27.9904,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,26.180629999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,22.0564,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,30.55548,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,31.38056,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,59.58967,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,28.2716,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,35.329609999999995,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,4.994619999999999,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,6.47526,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,24.2898,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,28.22441,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CAYUCOS_6_N001,CAYUCOS_6_N001,CAYUCOS_6_N001,DAM,LMP,LMP_PRC,CAYUCOS_6_N001,ALL,1,6.20759,1
