INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,48.99702,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,31.420890000000004,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,43.51553,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,27.612990000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,28.48119,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,6.38914,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,24.878989999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,35.11504,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,28.10075,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CCOSTA_2_N001,CCOSTA_2_N001,CCOSTA_2_N001,DAM,LMP,LMP_PRC,CCOSTA_2_N001,ALL,1,12.45097,1
