INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,30.9152,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,27.66762,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,31.213820000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,27.235559999999996,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,27.731790000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,6.53423,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,20.90704,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,41.99638,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,5.088030000000001,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,18.50756,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,24.70889,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,27.93863,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,34.733979999999995,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,27.65304,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,22.4809,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,34.41858,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,47.340709999999994,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,28.044959999999996,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,29.81118,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,6.31818,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHALLNGE_6_N001,CHALLNGE_6_N001,CHALLNGE_6_N001,DAM,LMP,LMP_PRC,CHALLNGE_6_N001,ALL,1,55.746680000000005,1
