INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,18.02758,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,27.75593,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,26.94758,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,9.19259,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,5.61509,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,11.94337,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,29.784059999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,21.944679999999998,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,25.70841,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHCARITA_1_N008,CHCARITA_1_N008,CHCARITA_1_N008,DAM,LMP,LMP_PRC,CHCARITA_1_N008,ALL,1,57.091730000000005,1
