INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.8459,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.689690000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.89095,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.82562,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,30.07937,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.30667,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,56.445409999999995,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,6.1738800000000005,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,31.698890000000002,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.04609,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,6.39963,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,31.073420000000002,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,47.899409999999996,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,34.8442,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,18.1085,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,12.021460000000001,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.0876,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,35.10066,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,24.21831,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,4.95803,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,20.576929999999997,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,42.61545,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,21.97596,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.11532,1
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,33.14055,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,30.059790000000003,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.18848,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,40.080659999999995,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,23.075879999999998,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,23.93267,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,37.77149,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,50.65488,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,38.437540000000006,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,58.888580000000005,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,37.27405,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.7113,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,22.04532,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,43.1069,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,29.78013,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.89488,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.098159999999996,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.33367,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.906370000000003,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.26858,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,19.70877,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,25.6633,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.087529999999997,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.69742,5
2017-10-03T16:00:00-00:00,2017-10-03,9,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,29.39282,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,16.59966,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,37.4392,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,32.65188,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,41.47659,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.13358,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,26.33322,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,37.56122,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,61.43003,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,30.482409999999998,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.00868,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.103709999999996,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,27.673779999999997,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.19727,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,16.313760000000002,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,22.313979999999997,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,28.61252,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,43.67875,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,20.9627,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,CHENY_1_N001,CHENY_1_N001,CHENY_1_N001,DAM,LMP,LMP_PRC,CHENY_1_N001,ALL,1,20.87244,9
