INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,21.19978,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,31.507759999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.526220000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,30.3355,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,5.14118,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,6.39582,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,27.700509999999998,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,35.81964,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,22.84285,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,32.10418,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.15475,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,25.142770000000002,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,58.256269999999994,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.19603,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,6.60969,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,18.79628,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,27.02747,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.38862,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.18351,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.52607,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,12.47049,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,43.89752,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,49.51616,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,35.575829999999996,1
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,27.22755,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,38.11809,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,52.884780000000006,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,26.991770000000002,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,26.527459999999998,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,44.73842,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,22.01726,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,29.34308,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,25.88844,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,39.74693,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,39.06951,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,28.62708,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,30.309359999999998,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,33.69157,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,30.53799,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,24.639870000000002,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CHEROKEE_6_N001,CHEROKEE_6_N001,CHEROKEE_6_N001,DAM,LMP,LMP_PRC,CHEROKEE_6_N001,ALL,1,24.22113,5
