INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,54.81505,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,24.18873,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,46.51998,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,30.0873,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,33.78852,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,6.41314,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,20.48765,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,26.84275,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,26.8022,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHESTER_6_N001,CHESTER_6_N001,CHESTER_6_N001,DAM,LMP,LMP_PRC,CHESTER_6_N001,ALL,1,18.09379,1
