INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,44.87663,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,28.59095,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,27.741540000000004,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,28.487109999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,12.56933,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,28.5851,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,21.33266,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,22.95233,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,50.0798,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,28.28306,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,6.66839,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,27.08023,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,35.815020000000004,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,59.41499,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,36.44875,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,28.266270000000002,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,31.5667,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,30.46508,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,6.44546,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,18.89375,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,32.49351,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,5.182919999999999,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,25.201929999999997,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,28.47768,1
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,38.697179999999996,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,33.97703,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,34.91069,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,30.41938,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CHEVGEN1_7_B1,CHEVGEN1_7_B1,CHEVGEN1_7_B1,DAM,LMP,LMP_PRC,CHEVGEN1_7_B1,ALL,1,27.155,5
