INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,20.724339999999998,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,22.59261,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.12939,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,59.15879,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,50.22813,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.13819,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.560029999999998,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.87373,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,32.20949,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,44.46391,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,18.53882,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,35.63563,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,5.1025599999999995,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,30.20593,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.19603,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,30.992759999999997,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,12.28014,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,6.36541,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,24.99239,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,6.68173,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.388720000000003,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,36.47032,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.68715,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.906509999999997,1
2017-10-02T12:00:00-00:00,2017-10-02,5,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.314090000000004,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,24.71236,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.967679999999998,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,30.528909999999996,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,21.068820000000002,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,51.32451,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,38.125659999999996,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,37.74901,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,29.95257,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,40.60099,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.73064,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.910970000000002,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.362140000000004,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,59.833819999999996,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,23.595110000000002,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,39.150929999999995,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.75955,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.49628,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,44.49901,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,33.29656,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.513370000000002,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.4644,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,23.64803,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.9737,5
2017-10-03T20:00:00-00:00,2017-10-03,13,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,22.49398,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.4052,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.003109999999996,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.87893,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,63.7079,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,23.41131,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.99302,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,41.73529,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,33.07091,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.519779999999997,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,38.57101,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,35.20556,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,30.333990000000004,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,44.244209999999995,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,31.028879999999997,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,47.01175,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,51.891040000000004,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,23.21615,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,18.97239,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,23.65858,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,28.328809999999997,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,38.89582,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,26.81092,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,19.98835,9
2017-10-04T19:00:00-00:00,2017-10-04,12,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,25.628729999999997,13
2017-10-04T10:00:00-00:00,2017-10-04,3,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,27.467470000000002,13
2017-10-05T07:00:00-00:00,2017-10-04,24,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,31.15151,13
2017-10-04T13:00:00-00:00,2017-10-04,6,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,31.77965,13
2017-10-04T22:00:00-00:00,2017-10-04,15,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,30.2336,13
2017-10-04T23:00:00-00:00,2017-10-04,16,0,CHEVMAIN_6_N004,CHEVMAIN_6_N004,CHEVMAIN_6_N004,DAM,LMP,LMP_PRC,CHEVMAIN_6_N004,ALL,1,29.048409999999997,13
