INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,12.18863,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,24.46976,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,26.20701,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,48.06257,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,27.438640000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,27.446279999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,34.46431,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,56.55604,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,42.66375,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,27.046840000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,27.862029999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,29.549020000000002,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,34.86339,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,27.403940000000002,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,CHICOA_6_N010,CHICOA_6_N010,CHICOA_6_N010,DAM,LMP,LMP_PRC,CHICOA_6_N010,ALL,1,30.667009999999998,1
