INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,57.604130000000005,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,27.4407,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,6.5439099999999994,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,4.98652,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,21.91787,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,25.89572,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,43.3443,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,27.65584,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,27.07725,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,6.208480000000001,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,18.03494,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,35.61473,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,31.52337,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,27.3477,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,27.67628,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,20.32987,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,11.95923,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,29.70872,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,CHINO_6_N007,CHINO_6_N007,CHINO_6_N007,DAM,LMP,LMP_PRC,CHINO_6_N007,ALL,1,34.63666,1
